iter	Passed	Remaining
0	171	170976
1	173	86549
2	175	58400
3	178	44475
4	180	35904
5	181	30125
6	183	26024
7	184	22936
8	185	20459
9	191	19002
10	194	17497
11	196	16149
12	197	14980
13	198	13968
14	199	13092
15	201	12363
16	202	11709
17	203	11113
18	205	10592
19	206	10122
20	208	9729
21	210	9335
22	211	8982
23	212	8658
24	214	8362
25	215	8063
26	216	7794
27	217	7537
28	218	7299
29	219	7096
30	220	6902
31	221	6714
32	223	6556
33	225	6403
34	226	6241
35	227	6089
36	228	5945
37	229	5809
38	231	5698
39	232	5575
40	233	5460
41	234	5354
42	236	5259
43	237	5163
44	238	5063
45	239	4969
46	240	4880
47	242	4810
48	243	4730
49	245	4658
50	246	4582
51	247	4507
52	248	4446
53	249	4377
54	250	4311
55	252	4248
56	253	4186
57	254	4134
58	255	4079
59	256	4024
60	257	3970
61	259	3919
62	260	3875
63	261	3826
64	262	3779
65	263	3733
66	264	3688
67	266	3657
68	268	3618
69	269	3577
70	270	3536
71	272	3512
72	273	3477
73	275	3445
74	276	3412
75	278	3386
76	279	3350
77	280	3316
78	281	3285
79	283	3254
80	284	3231
81	286	3202
82	286	3166
83	287	3136
84	290	3122
85	291	3099
86	292	3071
87	293	3046
88	296	3032
89	297	3010
90	298	2985
91	300	2963
92	301	2942
93	302	2918
94	304	2898
95	305	2874
96	307	2861
97	308	2841
98	309	2818
99	310	2795
100	312	2778
101	313	2760
102	314	2740
103	315	2719
104	316	2698
105	318	2690
106	320	2671
107	321	2652
108	322	2633
109	323	2615
110	325	2604
111	326	2586
112	327	2567
113	328	2550
114	331	2549
115	332	2534
116	333	2515
117	334	2499
118	335	2485
119	337	2474
120	338	2458
121	339	2442
122	341	2431
123	342	2421
124	344	2410
125	345	2400
126	347	2388
127	348	2375
128	349	2361
129	351	2353
130	353	2346
131	355	2338
132	356	2326
133	358	2315
134	360	2311
135	362	2303
136	364	2293
137	366	2288
138	367	2277
139	368	2266
140	370	2256
141	371	2246
142	373	2240
143	374	2228
144	376	2218
145	378	2211
146	379	2200
147	380	2189
148	381	2178
149	383	2171
150	384	2162
151	386	2156
152	387	2147
153	389	2141
154	390	2130
155	392	2125
156	395	2124
157	398	2123
158	401	2125
159	404	2123
160	406	2117
161	408	2114
162	411	2113
163	413	2108
164	415	2102
165	417	2096
166	418	2086
167	420	2080
168	423	2079
169	425	2076
170	428	2078
171	430	2072
172	434	2076
173	436	2070
174	438	2069
175	440	2063
176	443	2061
177	445	2055
178	446	2048
179	448	2041
180	451	2040
181	453	2037
182	456	2038
183	459	2039
184	462	2035
185	463	2029
186	466	2028
187	468	2024
188	470	2020
189	472	2015
190	474	2011
191	477	2007
192	479	2003
193	480	1997
194	483	1995
195	485	1990
196	486	1982
197	488	1976
198	489	1970
199	490	1962
200	492	1956
201	494	1952
202	495	1945
203	496	1938
204	497	1931
205	499	1926
206	501	1920
207	502	1913
208	504	1907
209	506	1903
210	507	1897
211	508	1890
212	509	1884
213	511	1879
214	513	1874
215	514	1868
216	516	1861
217	518	1858
218	519	1851
219	520	1845
220	521	1839
221	523	1836
222	525	1830
223	526	1824
224	527	1818
225	529	1814
226	531	1810
227	533	1805
228	535	1801
229	537	1798
230	538	1792
231	539	1786
232	542	1784
233	543	1779
234	545	1775
235	547	1772
236	548	1767
237	550	1761
238	551	1754
239	553	1751
240	554	1746
241	555	1740
242	556	1734
243	559	1732
244	560	1727
245	561	1721
246	562	1715
247	564	1711
248	565	1706
249	567	1701
250	568	1696
251	570	1694
252	571	1688
253	573	1684
254	574	1679
255	576	1676
256	579	1675
257	581	1671
258	582	1667
259	584	1662
260	585	1657
261	586	1651
262	588	1649
263	589	1644
264	591	1640
265	592	1635
266	594	1632
267	596	1628
268	597	1623
269	598	1618
270	600	1615
271	601	1611
272	603	1606
273	604	1602
274	606	1598
275	607	1593
276	608	1589
277	610	1585
278	612	1582
279	613	1578
280	615	1573
281	616	1570
282	618	1566
283	619	1561
284	620	1556
285	622	1553
286	623	1550
287	625	1545
288	626	1541
289	628	1539
290	630	1535
291	631	1531
292	632	1527
293	635	1525
294	636	1522
295	638	1518
296	640	1515
297	641	1512
298	643	1508
299	644	1503
300	647	1503
301	649	1500
302	650	1496
303	652	1494
304	654	1490
305	655	1487
306	657	1483
307	658	1480
308	659	1475
309	661	1471
310	662	1467
311	664	1465
312	665	1460
313	666	1456
314	668	1454
315	670	1451
316	671	1447
317	673	1444
318	675	1441
319	677	1438
320	678	1434
321	680	1433
322	682	1429
323	683	1425
324	684	1422
325	687	1420
326	688	1416
327	690	1413
328	692	1413
329	694	1409
330	695	1405
331	696	1402
332	698	1399
333	699	1395
334	702	1393
335	704	1392
336	706	1390
337	708	1386
338	709	1383
339	710	1379
340	712	1376
341	713	1373
342	715	1370
343	716	1366
344	717	1363
345	719	1360
346	721	1357
347	722	1354
348	723	1350
349	726	1348
350	727	1345
351	728	1341
352	729	1337
353	731	1335
354	734	1334
355	736	1331
356	738	1330
357	740	1328
358	742	1325
359	746	1326
360	748	1325
361	751	1325
362	753	1322
363	756	1322
364	758	1319
365	759	1315
366	762	1314
367	764	1312
368	765	1308
369	768	1307
370	769	1304
371	770	1301
372	773	1300
373	775	1297
374	776	1294
375	778	1292
376	780	1289
377	781	1286
378	784	1285
379	786	1282
380	787	1279
381	789	1277
382	791	1275
383	792	1271
384	794	1269
385	797	1268
386	798	1265
387	802	1265
388	803	1262
389	807	1263
390	809	1261
391	813	1261
392	815	1259
393	820	1261
394	822	1260
395	826	1260
396	827	1257
397	831	1257
398	833	1255
399	836	1254
400	838	1252
401	839	1249
402	842	1248
403	845	1247
404	848	1246
405	852	1246
406	855	1246
407	857	1244
408	862	1245
409	863	1243
410	866	1241
411	869	1240
412	871	1239
413	874	1237
414	875	1234
415	878	1232
416	880	1230
417	883	1229
418	885	1227
419	887	1225
420	891	1226
421	894	1225
422	896	1223
423	898	1220
424	901	1219
425	903	1217
426	907	1217
427	909	1215
428	911	1213
429	913	1211
430	915	1208
431	918	1207
432	919	1204
433	921	1202
434	924	1200
435	925	1197
436	928	1196
437	930	1193
438	931	1190
439	933	1188
440	935	1186
441	937	1183
442	939	1180
443	941	1179
444	942	1175
445	945	1174
446	947	1171
447	949	1169
448	951	1167
449	953	1165
450	955	1163
451	957	1160
452	958	1157
453	959	1154
454	962	1153
455	964	1150
456	965	1147
457	968	1146
458	969	1143
459	971	1140
460	973	1137
461	974	1135
462	976	1132
463	977	1129
464	980	1127
465	981	1125
466	982	1121
467	985	1120
468	987	1118
469	988	1114
470	991	1113
471	993	1110
472	994	1107
473	995	1105
474	997	1103
475	999	1099
476	1000	1096
477	1003	1096
478	1005	1093
479	1007	1090
480	1010	1090
481	1011	1087
482	1013	1084
483	1015	1082
484	1017	1080
485	1020	1079
486	1021	1076
487	1024	1074
488	1026	1072
489	1028	1070
490	1030	1068
491	1032	1065
492	1033	1062
493	1035	1060
494	1037	1058
495	1038	1055
496	1040	1052
497	1042	1050
498	1044	1048
499	1045	1045
500	1047	1042
501	1049	1040
502	1050	1038
503	1052	1035
504	1054	1033
505	1055	1030
506	1057	1027
507	1059	1026
508	1061	1023
509	1062	1020
510	1065	1019
511	1066	1016
512	1068	1013
513	1069	1010
514	1071	1009
515	1073	1006
516	1074	1003
517	1078	1003
518	1080	1000
519	1084	1001
520	1102	1013
521	1105	1011
522	1109	1011
523	1117	1014
524	1121	1014
525	1123	1012
526	1128	1012
527	1130	1010
528	1133	1009
529	1138	1009
530	1140	1007
531	1148	1010
532	1151	1008
533	1153	1007
534	1157	1006
535	1161	1005
536	1163	1003
537	1167	1002
538	1175	1005
539	1183	1007
540	1187	1007
541	1190	1005
542	1192	1003
543	1194	1001
544	1196	998
545	1198	996
546	1200	994
547	1202	992
548	1204	989
549	1205	986
550	1207	984
551	1210	982
552	1211	979
553	1212	976
554	1215	974
555	1216	971
556	1217	968
557	1220	967
558	1222	964
559	1223	961
560	1225	958
561	1227	956
562	1228	953
563	1230	950
564	1232	948
565	1233	945
566	1234	943
567	1238	941
568	1239	939
569	1241	936
570	1243	934
571	1245	931
572	1246	928
573	1248	926
574	1250	924
575	1251	921
576	1253	918
577	1255	916
578	1256	913
579	1257	910
580	1260	909
581	1262	906
582	1263	903
583	1265	901
584	1267	899
585	1268	896
586	1270	894
587	1272	891
588	1273	888
589	1275	886
590	1277	884
591	1279	881
592	1280	879
593	1283	877
594	1285	874
595	1286	872
596	1290	871
597	1292	868
598	1295	867
599	1297	865
600	1301	863
601	1303	861
602	1305	859
603	1307	857
604	1313	857
605	1316	855
606	1319	854
607	1321	852
608	1324	850
609	1326	848
610	1328	845
611	1330	843
612	1332	840
613	1333	838
614	1335	836
615	1338	834
616	1342	833
617	1344	831
618	1348	830
619	1352	829
620	1355	827
621	1357	825
622	1361	824
623	1364	821
624	1368	821
625	1370	819
626	1374	817
627	1376	815
628	1380	814
629	1382	811
630	1386	810
631	1388	808
632	1391	806
633	1395	805
634	1397	803
635	1400	801
636	1402	799
637	1404	796
638	1406	794
639	1408	792
640	1410	789
641	1412	787
642	1414	785
643	1415	782
644	1418	780
645	1420	778
646	1422	775
647	1424	773
648	1426	771
649	1428	769
650	1430	766
651	1431	764
652	1434	762
653	1436	759
654	1439	758
655	1441	756
656	1445	754
657	1447	752
658	1449	750
659	1451	747
660	1452	745
